decile,avg_pred,obs_rate,count,error
10,0.5050059255291143,0.4750441881996465,11881,0.029961737329467775
9,0.319636669648697,0.34121706927026346,11881,-0.021580399621566437
8,0.23974770290786934,0.2688325898493393,11881,-0.029084886941469934
7,0.1935156520192254,0.21648009426815926,11881,-0.022964442248933847
6,0.16236927917875082,0.1797979797979798,11880,-0.017428700619228965
5,0.14033621168244098,0.14611564683107484,11881,-0.005779435148633855
4,0.12328005943982934,0.12094941503240468,11881,0.0023306444074246563
3,0.1085230107359711,0.09973907920208737,11881,0.008783931533883738
2,0.09484308896368653,0.07448867940409057,11881,0.020354409559595957
1,0.07999758504920773,0.038633111690935105,11881,0.041364473358272626
