loan_amnt,int_rate,installment,annual_inc,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,loan_to_income,credit_stress,emp_length_num,grade,home_ownership,purpose,verification_status,application_type,default_flag,pd_lgb,pd_lgb_platt,pd_lr
20000.0,0.1365,680.16,131000.0,20.97,10.0,1.0,19042.0,0.862,20.0,2.0,0.1526705903008374,18.07614,10.0,C,MORTGAGE,credit_card,Source Verified,INDIVIDUAL,0,0.17679016163540626,0.1595079295513506,0.17441111625894798
12000.0,0.08900000000000001,381.04,90000.0,15.91,15.0,0.0,11881.0,0.257,32.0,2.0,0.13333185186831256,4.08887,6.0,A,MORTGAGE,wedding,Source Verified,INDIVIDUAL,0,0.04362491552467358,0.08154347861822693,0.035745869878744146
25000.0,0.1433,858.46,71000.0,19.93,14.0,0.0,24741.0,0.7090000000000001,24.0,1.0,0.35210771679272124,14.130370000000001,5.0,C,MORTGAGE,debt_consolidation,Verified,INDIVIDUAL,0,0.14891036323741472,0.13932123310351813,0.2111185742899386
9600.0,0.12119999999999999,319.41,120000.0,26.2,13.0,0.0,31807.0,0.809,27.0,0.0,0.07999933333888884,21.195800000000002,8.0,B,RENT,vacation,Source Verified,INDIVIDUAL,0,0.16160412995150142,0.14823330447580685,0.16479951545824803
4200.0,0.0917,133.9,68000.0,18.83,7.0,0.0,10569.0,0.8809999999999999,28.0,9.0,0.061763797591211894,16.589229999999997,10.0,B,RENT,debt_consolidation,Not Verified,INDIVIDUAL,0,0.10478898022169231,0.11178492971843301,0.0900152265152004
7000.0,0.0603,213.05,116000.0,8.96,13.0,0.0,2377.0,0.062,35.0,,0.06034430737666054,0.55552,1.0,A,MORTGAGE,home_improvement,Not Verified,INDIVIDUAL,0,0.016611442203031762,0.07072134097529094,0.04005429436934464
5000.0,0.17859999999999998,180.42,50000.0,16.99,4.0,0.0,12290.0,0.83,7.0,1.0,0.0999980000399992,14.101699999999997,10.0,D,RENT,other,Verified,INDIVIDUAL,1,0.2006794995934558,0.17863646386459592,0.2586245920534243
17000.0,0.1229,380.66,80000.0,24.3,17.0,0.0,10813.0,0.335,37.0,2.0,0.2124973437832027,8.140500000000001,9.0,C,MORTGAGE,debt_consolidation,Source Verified,INDIVIDUAL,0,0.21535874231428295,0.1912555176969387,0.2340744133473241
31925.0,0.1349,1083.23,120000.0,27.99,17.0,0.0,37193.0,0.951,50.0,3.0,0.26603944967125276,26.618489999999998,10.0,C,MORTGAGE,debt_consolidation,Verified,INDIVIDUAL,0,0.18585741776168557,0.16656527064571797,0.17570472297275447
7500.0,0.1144,247.11,210000.0,17.4,27.0,0.0,18231.0,0.43799999999999994,45.0,0.0,0.03571411564706835,7.621199999999998,5.0,B,RENT,moving,Not Verified,INDIVIDUAL,0,0.1946682120996082,0.1736602173991174,0.13908862262921856
